#BAM: /home/student5/project/mapping/mapping_2020_02_24/time_24h/mapped_ERR405233.sorted.bam Mapped Reads/million: 20.884485
#BAM: /home/student5/project/mapping/mapping_2020_02_24/time_24h/mapped_ERR405234.sorted.bam Mapped Reads/million: 24.389042
#BAM: /home/student5/project/mapping/mapping_2020_02_24/time_24h/mapped_ERR405235.sorted.bam Mapped Reads/million: 19.816820

    	mapped_ERR405233.sorted.bam	mapped_ERR405234.sorted.bam	mapped_ERR405235.sorted.bam	
cds1574	     12.624      12.188      24.812	     12.425      12.922      25.347	      9.634      11.010      20.644	
nei	     14.993      16.082      31.075	     18.223      19.000      37.223	     12.934      13.253      26.187	
pssA	      8.899       9.499      18.397	     15.451      15.633      31.084	      8.708       8.857      17.565	
hepA	      1.878       1.911       3.788	      2.482       2.285       4.767	      2.951       2.829       5.780	
yibL	      8.838      10.553      19.390	     14.119      16.378      30.497	      9.592      12.233      21.825	
yibK	      1.717       1.414       3.132	      3.114       1.990       5.104	      2.129       1.703       3.833	
cds2656	      1.193       0.932       2.125	      1.634       1.281       2.915	      1.668       1.303       2.971	
tpx	    431.036     430.659     861.695	    528.821     527.284    1056.105	    299.090     299.289     598.380	
cds2655	      2.806       2.587       5.393	      2.643       2.483       5.125	      3.154       2.924       6.078	
cds2654	      2.859       2.700       5.558	      2.924       2.448       5.372	      2.594       2.762       5.356	
cds2653	      2.068       2.428       4.496	      3.157       3.041       6.198	      2.180       2.180       4.359	
cds773	      0.000       0.273       0.273	      0.350       0.234       0.584	      0.431       0.000       0.431	
cds2652	      2.572       2.572       5.144	      2.146       2.428       4.575	      2.850       2.989       5.839	
cds1568	     16.637      17.854      34.492	     26.640      28.493      55.133	     11.261      12.117      23.378	
cds2651	      1.290       1.630       2.920	      1.919       1.803       3.722	      1.861       1.646       3.507	
cds1567	      6.979       3.943      10.922	      8.924       5.306      14.230	      6.530       4.255      10.785	
cds771	      1.301       0.552       1.852	      1.012       0.574       1.586	      0.914       0.623       1.537	
cds2650	      1.721       1.304       3.025	      2.323       1.831       4.154	      1.869       1.869       3.738	
spak	      1.174       1.526       2.699	      1.507       0.804       2.311	      1.237       1.113       2.350	
ndk	     26.712      19.951      46.663	     37.395      27.525      64.920	     19.157      14.718      33.875	
ndh	      8.292       8.219      16.511	      7.886       7.823      15.710	      8.043       8.043      16.086	
yiaS	      0.757       0.688       1.445	      1.826       1.591       3.417	      1.378       1.305       2.683	
yiaR	      0.501       0.389       0.890	      1.095       0.952       2.048	      0.410       0.234       0.645	
yiaQ	      0.433       0.289       0.722	      0.866       0.557       1.422	      0.304       0.381       0.685	
yiaN	      1.161       0.937       2.098	      1.155       0.898       2.053	      0.908       0.987       1.895	
yiaM	      1.414       1.010       2.424	      1.298       1.903       3.201	      1.490       1.065       2.555	
yiaL	      7.929       8.341      16.270	     11.110      12.962      24.072	      6.945       8.248      15.193	
yiaJ	      6.337       5.141      11.477	      6.040       5.119      11.159	      5.670       4.536      10.206	
cds769	    129.539     160.891     290.430	    169.988     201.593     371.581	    128.408     154.240     282.648	
cds3732	      5.883       6.700      12.583	      8.863       9.656      18.519	      7.004       7.521      14.524	
yiaF	     12.392       9.092      21.483	     16.608      12.399      29.007	     12.562      10.575      23.137	
yiaE	     16.255      14.782      31.038	     19.765      17.452      37.217	     12.318      11.231      23.549	
spaT	      7.115       6.250      13.365	      7.657       7.410      15.067	     11.045       9.120      20.165	
yiaD	      3.178       2.817       5.994	      5.133       4.576       9.709	      5.404       5.176      10.580	
spaS	      3.085       2.504       5.589	      4.709       3.828       8.537	      4.052       3.534       7.586	
yiaC	     13.898      18.458      32.356	     16.736      23.430      40.165	     10.985      15.219      26.204	
spaR	      1.632       2.297       3.930	      2.537       3.313       5.850	      3.249       3.695       6.945	
yiaB	      1.217       0.812       2.029	      0.695       0.463       1.158	      1.140       1.711       2.851	
cds2643	      7.520       6.292      13.812	     13.405      10.645      24.049	      8.249       5.823      14.071	
spaQ	      2.568       4.220       6.788	      4.399       5.970      10.368	      4.447       5.800      10.247	
cds1559	      3.067       2.347       5.414	      3.350       2.653       6.003	      2.803       2.408       5.211	
spaP	      4.824       4.966       9.789	      5.042       5.467      10.509	      5.308       5.682      10.990	
cds1558	     16.831       9.722      26.553	     17.022      10.064      27.086	     15.139      10.398      25.537	
spaO	      2.730       3.255       5.985	      4.001       4.586       8.587	      3.541       3.929       7.470	
cds761	      6.646      12.612      19.258	      8.873      16.042      24.915	      8.438      14.449      22.887	
cds2640	      3.876       3.283       7.160	      5.311       4.647       9.958	      5.238       4.421       9.660	
spaN	      4.357       3.647       8.004	      5.110       3.569       8.679	      5.590       4.592      10.182	
cds1556	     13.107      15.802      28.909	     14.708      17.062      31.770	      9.079      10.471      19.550	
cds760	     36.100      32.386      68.486	     36.579      32.255      68.834	     33.458      29.666      63.124	
spaM	      1.294       1.725       3.020	      2.032       1.847       3.879	      1.364       1.477       2.841	
cds1555	      9.539       9.444      18.983	     11.039      11.079      22.118	      6.569       7.067      13.636	
spaI	      2.365       2.217       4.581	      2.626       2.404       5.030	      2.219       2.219       4.439	
sitD	      5.471       5.414      10.885	      8.500       8.548      17.048	      7.667       6.360      14.027	
sitC	      2.113       2.225       4.338	      3.333       3.095       6.429	      1.582       1.817       3.399	
cds1550	      5.616       7.759      13.375	      6.454       7.909      14.363	      4.750       6.619      11.370	
sitB	      3.845       4.427       8.272	      4.789       5.686      10.475	      3.622       4.113       7.735	
sitA	     16.378      15.648      32.026	     24.297      23.181      47.478	     16.931      16.161      33.092	
ais	      5.610       4.188       9.798	      8.052       6.022      14.073	      8.494       6.079      14.572	
air	      2.330       2.393       4.722	      2.696       2.642       5.338	      3.882       4.014       7.896	
cds3726	      1.890       1.705       3.595	      2.005       1.812       3.817	      2.576       2.728       5.304	
cds3722	      5.837       4.545      10.382	      6.148       4.910      11.058	      6.478       5.063      11.540	
hemY	      5.746       6.704      12.449	      7.961       9.909      17.870	      5.635       6.728      12.363	
cds3720	     11.481       3.290      14.771	     13.308       4.556      17.863	     10.771       3.615      14.386	
hemX	     11.991      12.810      24.801	     16.436      17.102      33.538	     10.179      10.783      20.961	
cds2635	    269.515     195.166     464.682	    296.875     234.421     531.296	    183.963     140.528     324.491	
cds2634	     34.436       7.276      41.713	     41.978       9.676      51.655	     25.514       5.619      31.132	
cds2633	      0.725       0.725       1.451	      0.414       0.276       0.690	      0.510       0.340       0.850	
cds2631	      6.134       5.758      11.892	      8.576       6.914      15.490	      5.607       4.815      10.422	
cds2630	      0.599       0.525       1.124	      0.834       0.770       1.604	      0.474       0.316       0.790	
pspF	      6.150       5.857      12.007	      4.347       4.389       8.735	      5.093       5.093      10.185	
cds1545	     10.355       7.895      18.249	     11.414       8.279      19.693	      8.018       5.667      13.686	
pspE	    108.838     141.975     250.813	    122.485     150.731     273.217	    140.814     177.018     317.832	
cds1544	     19.878      17.412      37.290	     25.968      22.986      48.954	     16.668      16.515      33.183	
pspD	    156.328     254.280     410.608	    151.464     277.091     428.555	    190.558     313.372     503.931	
pspC	    251.383     318.019     569.402	    262.868     319.360     582.229	    298.848     382.251     681.099	
hemN	     12.964      13.521      26.485	     20.740      20.889      41.629	     11.495      12.597      24.093	
cds1542	     61.747      52.558     114.305	     87.112      78.553     165.665	     44.855      38.569      83.424	
pspB	    375.611     555.223     930.835	    372.481     543.049     915.530	    453.711     688.528    1142.240	
hemM	      9.055       9.131      18.186	      9.725      11.959      21.684	      6.550       8.734      15.284	
pspA	    884.572     799.615    1684.188	    824.453     739.017    1563.470	   1044.092     935.926    1980.018	
hemL	     11.176      10.616      21.792	     15.748      14.980      30.728	      9.415       9.139      18.554	
hemK	      1.722       2.411       4.134	      1.327       1.917       3.245	      1.573       1.452       3.025	
hemH	      4.922       4.624       9.547	      6.599       6.472      13.071	      5.450       5.240      10.690	
hemG	      2.192       1.754       3.946	      3.529       2.929       6.458	      2.865       2.311       5.176	
rhtC	      3.778       3.701       7.479	      5.150       5.084      10.234	      3.819       4.225       8.045	
hemF	      1.702       3.458       5.161	      3.189       5.285       8.474	      1.906       3.757       5.663	
hemE	     20.592      20.232      40.824	     23.446      22.676      46.122	     19.285      18.574      37.858	
rhtB	      2.313       1.851       4.164	      3.499       2.971       6.471	      2.438       1.869       4.307	
hemD	      9.951      11.438      21.389	     12.229      14.276      26.505	      7.491       7.627      15.118	
hemC	     15.910      14.283      30.193	     21.067      18.064      39.130	     14.785      13.714      28.499	
cds3719	    168.254     174.239     342.492	    206.078     212.769     418.847	    142.363     150.335     292.698	
hemB	     18.760      18.515      37.275	     24.265      24.223      48.488	     15.216      15.320      30.536	
hemA	     15.999      15.466      31.465	     25.410      24.138      49.548	     17.744      17.142      34.886	
cds2628	      0.806       0.705       1.510	      0.905       0.992       1.897	      0.478       0.424       0.902	
cds2627	      0.960       1.056       2.015	      1.178       1.178       2.355	      0.674       0.708       1.382	
cds2626	      1.283       1.180       2.463	      1.274       1.450       2.725	      1.190       1.244       2.434	
cds2625	      0.752       0.832       1.584	      0.475       0.678       1.153	      0.877       1.002       1.878	
cds2624	      0.484       0.000       0.484	      1.519       0.276       1.795	      0.340       0.000       0.340	
cds2622	      1.025       2.050       3.075	      0.752       4.138       4.890	      0.463       1.852       2.315	
cds2621	      0.257       1.030       1.287	      0.661       0.441       1.102	      1.085       0.814       1.899	
cds1537	     20.099      16.315      36.414	     25.614      21.159      46.773	     15.201      11.961      27.162	
cds2620	      2.697       3.352       6.049	      2.122       2.247       4.369	      4.224       4.992       9.217	
cds1536	      8.393       7.044      15.436	      6.673       5.262      11.935	      8.450       7.581      16.031	
cds1535	      4.467       3.759       8.226	      5.224       4.758       9.982	      5.626       4.995      10.621	
cds1534	      2.267       2.644       4.911	      3.477       3.558       7.036	      2.588       2.289       4.877	
cds1533	      1.710       1.805       3.515	      2.359       2.197       4.556	      1.802       2.403       4.205	
cds1532	     12.821      12.559      25.380	     11.203      13.667      24.870	      8.548       9.100      17.648	
ligT	     12.264       6.943      19.207	     11.274       6.332      17.605	      9.503       6.652      16.156	
tmk	      7.085       8.204      15.290	      8.303      12.518      20.820	      6.367       6.760      13.126	
sirA	     74.047      65.009     139.056	     95.422      82.066     177.488	     65.209      57.605     122.814	
helD	      7.596       6.850      14.446	      9.497       8.220      17.718	      8.619       7.563      16.182	
agp	     22.129      21.821      43.950	     32.452      32.122      64.573	     16.902      16.699      33.601	
gst	    114.649     169.169     283.818	    128.013     209.205     337.218	     95.179     136.648     231.826	
yojN	      9.110       5.255      14.365	      9.874       5.682      15.556	      7.314       4.082      11.397	
cds2619	     86.787     174.662     261.449	    104.136     185.208     289.344	    119.370     211.884     331.254	
ilvY	     19.142       4.152      23.294	     21.517       5.264      26.781	     18.639       4.603      23.242	
gsp	      5.647       5.312      10.959	      6.977       6.756      13.734	      6.766       6.576      13.342	
cds2618	    263.271     172.607     435.878	    260.807     162.458     423.265	    296.877     188.149     485.027	
yojL	      1.046       0.728       1.773	      1.246       0.779       2.025	      0.671       0.288       0.958	
cds3701	      7.292       7.361      14.654	      6.716       6.775      13.491	      5.510       5.728      11.238	
ligA	      3.943       4.085       8.028	      4.759       4.617       9.376	      3.629       3.730       7.359	
cds3700	     15.315      15.130      30.445	     18.565      18.447      37.012	     13.758      13.466      27.224	
yojI	      3.408       2.184       5.592	      3.791       2.519       6.310	      3.653       2.609       6.262	
gsk	      1.504       1.284       2.789	      2.671       2.168       4.839	      2.088       1.972       4.060	
yojF	      1.814       1.995       3.809	      1.087       0.777       1.864	      0.956       0.573       1.529	
pmbA	     14.899       8.706      23.605	     16.971      10.576      27.547	     11.301       7.236      18.536	
cds1525	     10.255      13.725      23.980	     13.601      16.572      30.174	     11.214      14.627      25.841	
eutS	      0.570       0.570       1.140	      0.732       0.244       0.976	      0.150       0.150       0.300	
cds1524	      4.646       4.045       8.691	      4.587       4.821       9.408	      4.032       3.975       8.007	
ilvN	      6.746       5.595      12.341	      6.200       3.945      10.145	      7.457       5.029      12.485	
eutQ	      0.694       0.833       1.527	      0.178       0.654       0.832	      0.731       0.366       1.097	
ilvM	      3.486       1.101       4.586	      3.142       0.785       3.927	      2.900       0.967       3.867	
cds1522	     16.652      14.264      30.916	     21.685      18.349      40.033	     13.178      11.655      24.834	
eutP	      1.097       0.798       1.895	      1.196       1.281       2.477	      0.315       0.315       0.631	
ilvL	      2.418       2.418       4.837	      4.970       1.242       6.212	      1.019       1.529       2.549	
dapF	     13.639      21.881      35.520	     15.755      23.210      38.964	     12.111      19.206      31.317	
cds1521	     22.958      16.510      39.468	     27.844      19.463      47.307	     16.724      12.049      28.774	
cds1520	     36.102      17.671      53.773	     44.907      19.362      64.269	     26.032      11.014      37.046	
dapE	      7.259       9.466      16.725	      9.633      11.559      21.192	      6.442       8.858      15.300	
eutN	      0.902       0.972       1.874	      1.248       1.426       2.674	      0.439       0.512       0.951	
dapD	     52.526      49.914     102.439	     65.554      61.776     127.330	     36.761      34.926      71.687	
eutL	      1.088       1.088       2.176	      0.559       0.559       1.118	      0.382       0.382       0.765	
ilvI	      2.443       2.165       4.608	      3.470       3.185       6.655	      2.399       2.136       4.534	
rbfA	      8.100       7.028      15.127	      9.894       7.752      17.645	      9.164       7.908      17.072	
dapB	      5.126       5.010      10.136	      6.634       6.684      13.318	      4.174       4.359       8.533	
eutK	      0.871       0.871       1.741	      0.663       0.663       1.325	      0.917       1.019       1.937	
ilvH	      6.384       7.255      13.639	      7.538       7.538      15.075	      5.403       7.340      12.743	
ilvG	      2.268       2.268       4.535	      2.440       2.564       5.004	      2.482       2.390       4.872	
dapA	     53.766      45.867      99.633	     71.229      61.853     133.082	     48.912      41.908      90.820	
eutJ	      0.114       0.285       0.399	      0.098       0.342       0.439	      0.060       0.120       0.180	
ilvE	      3.913       3.553       7.466	      5.026       4.629       9.655	      3.364       3.364       6.728	
eutH	      0.273       0.273       0.546	      0.401       0.434       0.835	      0.370       0.329       0.699	
ilvD	      2.509       2.690       5.200	      3.699       3.788       7.487	      2.972       3.053       6.025	
eutG	      0.202       0.161       0.363	      0.207       0.207       0.414	      0.085       0.042       0.127	
ilvC	      5.969       5.482      11.452	      8.000       7.806      15.806	      4.855       4.513       9.368	
ilvB	      2.551       3.487       6.038	      3.107       4.224       7.331	      3.406       4.243       7.649	
eutE	      0.341       0.375       0.716	      0.613       0.642       1.256	      0.359       0.359       0.719	
ilvA	      1.395       1.240       2.634	      1.805       2.017       3.822	      0.784       1.013       1.796	
eutD	      0.188       0.188       0.377	      0.403       0.282       0.685	      0.347       0.248       0.595	
eutC	      0.480       0.480       0.961	      0.411       0.366       0.777	      0.281       0.338       0.619	
eutB	      0.773       0.809       1.582	      0.963       0.963       1.927	      0.741       0.778       1.519	
eutA	      0.580       0.477       1.057	      0.204       0.204       0.409	      0.395       0.503       0.899	
tdcG	      1.579       1.579       3.157	      1.832       1.952       3.785	      1.257       1.405       2.662	
cds729	      1.398       1.296       2.694	      1.665       1.256       2.920	      2.516       2.121       4.636	
cds728	      0.235       0.275       0.510	      0.302       0.336       0.638	      0.455       0.496       0.951	
tdcE	      1.335       1.314       2.650	      1.429       1.429       2.859	      1.627       1.649       3.276	
tdcD	      0.634       0.594       1.228	      0.814       0.882       1.696	      1.002       0.835       1.837	
tdcB	      2.902       2.660       5.562	      4.183       3.603       7.786	      4.384       3.670       8.054	
tdcA	      1.224       1.122       2.346	      0.655       0.568       1.223	      0.860       0.860       1.720	
cds1514	     40.909      28.822      69.732	     52.281      41.267      93.548	     35.275      28.579      63.853	
sipF	      1.923       1.538       3.461	      3.129       1.647       4.775	      2.837       3.445       6.282	
cds1513	      7.162      10.927      18.089	     10.198      13.878      24.076	      6.168       9.187      15.354	
sipD	      3.042       3.042       6.085	      4.369       4.208       8.577	      4.390       4.193       8.583	
cds1511	      4.393       2.050       6.443	      4.890       0.878       5.768	      3.395       1.543       4.938	
sipC	      5.761       5.723      11.484	      6.367       6.800      13.167	      5.949       6.605      12.554	
sipB	      5.535       5.293      10.829	      6.650       6.650      13.299	      7.533       7.731      15.263	
sipA	      2.117       2.210       4.328	      2.769       2.869       5.638	      2.967       3.090       6.056	
fixX	      0.665       0.333       0.998	      0.569       0.285       0.854	      0.350       0.526       0.876	
xapR	      2.110       2.922       5.032	      2.548       3.706       6.255	      2.965       3.478       6.443	
aes	      2.463       1.133       3.596	      2.911       1.139       4.050	      2.284       1.246       3.530	
zwf	     23.747      24.363      48.110	     30.502      31.196      61.697	     20.616      21.094      41.710	
yohN	     20.217      23.865      44.082	     22.388      27.465      49.853	     20.025      24.350      44.375	
mppA	     15.634      14.418      30.053	     16.335      15.369      31.704	     13.569      13.038      26.607	
yohK	      6.123       6.192      12.315	      8.189       9.897      18.086	      6.888       7.830      14.718	
yohJ	     11.161      12.601      23.761	     15.928      19.525      35.453	     11.888      12.141      24.030	
yohI	      0.612       0.510       1.122	      1.004       0.917       1.921	      0.860       0.806       1.666	
cds1509	     11.573      17.360      28.933	     13.286      18.895      32.181	      9.851      14.542      24.393	
yohG	      1.000       1.066       2.066	      1.341       1.341       2.682	      1.089       0.983       2.072	
cds1508	      2.077       2.004       4.081	      1.902       1.923       3.825	      1.858       1.680       3.537	
xapB	      2.286       2.095       4.381	      2.414       2.316       4.730	      2.168       1.887       4.055	
yohF	      1.257       0.817       2.074	      1.560       1.022       2.583	      1.523       1.457       2.980	
oxyR	     71.667      55.446     127.113	     86.560      65.300     151.859	     72.175      58.818     130.993	
xapA	      0.344       0.344       0.689	      0.442       0.492       0.934	      0.484       0.545       1.029	
cds1506	      0.208       0.208       0.416	      0.801       0.801       1.603	      0.493       0.493       0.986	
yohD	      2.647       2.166       4.812	      3.159       2.404       5.563	      2.536       2.367       4.903	
fixC	      0.521       0.446       0.967	      0.319       0.319       0.637	      0.314       0.353       0.667	
yohC	     12.459      12.296      24.756	     10.390      10.181      20.571	     11.672      11.500      23.171	
cds1504	      2.735       2.770       5.505	      3.854       3.647       7.501	      3.576       3.357       6.933	
fixB	      0.254       0.254       0.508	      0.348       0.479       0.827	      0.375       0.375       0.750	
cds1503	      1.826       1.691       3.517	      2.722       2.143       4.865	      2.138       2.566       4.704	
fixA	      0.186       0.186       0.373	      0.372       0.266       0.638	      0.262       0.262       0.524	
damX	      6.894       7.718      14.612	      8.566       9.689      18.255	      7.581       8.371      15.952	
gpt	     15.439      14.709      30.148	     24.387      24.565      48.952	     14.622      14.402      29.024	
sinR	      2.989       2.483       5.472	      3.992       3.818       7.810	      4.806       4.005       8.811	
adk	      5.493       4.900      10.393	      6.929       6.675      13.604	      6.494       6.024      12.518	
adi	      3.205       3.036       6.241	      3.791       3.521       7.312	      4.044       3.622       7.666	
adh	     52.994      53.227     106.221	     66.668      66.745     133.413	     39.857      40.178      80.035	
cds704	      1.465       1.696       3.161	      1.948       2.311       4.259	      1.828       1.991       3.819	
cds702	      0.855       0.901       1.756	      1.198       1.158       2.356	      0.983       1.032       2.015	
add	     37.799      34.263      72.063	     61.135      57.493     118.628	     29.210      27.195      56.405	
gph	      8.454       4.668      13.122	     11.020       6.807      17.827	      9.241       5.053      14.294	
cstA	      5.521       4.697      10.218	      7.472       6.595      14.068	      5.443       4.598      10.041	
sinI	      1.338       1.586       2.924	      1.401       1.486       2.886	      0.888       0.993       1.881	
ada	      1.217       1.353       2.570	      1.235       1.544       2.780	      1.093       1.235       2.328	
zur	     24.498      16.889      41.387	     32.023      23.044      55.067	     25.524      15.745      41.269	
tig	     17.620      21.343      38.962	     24.052      27.303      51.355	     16.704      20.084      36.788	
acs	     75.673      74.305     149.978	     98.957      97.513     196.471	     59.890      59.195     119.085	
gor	     28.100      29.515      57.615	     33.274      35.608      68.882	     25.212      26.891      52.103	
acT	      6.405       4.620      11.026	      6.249       4.361      10.610	      6.031       3.597       9.628	
gdhA	      6.662       6.555      13.218	      7.779       7.627      15.406	      5.256       4.956      10.213	
soxS	     91.922      88.671     180.594	     96.810      92.761     189.571	     86.440      83.013     169.453	
soxR	      9.806       9.180      18.986	     10.094       9.290      19.384	     12.203      11.873      24.077	
tgt	      8.702       2.674      11.376	     11.050       3.671      14.721	      8.410       2.774      11.184	
csrA	     15.961      23.941      39.902	     22.926      31.964      54.890	     17.635      23.061      40.695	
abc	      7.284       6.635      13.919	      8.145       7.867      16.011	      8.117       7.824      15.941	
psiF	      5.221       6.414      11.635	      6.514       9.452      15.967	      3.773       8.017      11.790	
gnd	     30.662      31.922      62.584	     41.964      44.208      86.171	     32.314      34.825      67.139	
aat	      1.902       2.445       4.347	      2.094       2.559       4.653	      1.360       1.718       3.078	
aas	      2.328       2.195       4.522	      3.208       3.227       6.435	      2.173       2.126       4.299	
gmk	     42.204      29.159      71.363	     50.595      35.548      86.144	     40.354      27.738      68.092	
ybjZ	     14.387      16.526      30.913	     18.153      20.490      38.643	     17.443      19.698      37.140	
aac	      4.244       5.074       9.318	      5.688       6.715      12.403	      3.306       3.403       6.709	
ybjY	     27.514      29.440      56.954	     34.297      36.862      71.158	     32.920      33.641      66.561	
yodD	      2.730       3.360       6.090	      2.518       3.597       6.114	      1.549       3.984       5.533	
ybjX	    132.017     138.059     270.075	    228.120     234.199     462.318	     99.014     105.063     204.077	
gmd	      2.646       2.902       5.548	      2.960       3.289       6.249	      3.733       4.048       7.781	
ybjU	      7.550       7.168      14.718	     11.130      10.476      21.606	      5.489       5.338      10.828	
rhlE	      1.540       1.610       3.150	      1.828       1.738       3.567	      1.586       1.586       3.172	
rhlB	     15.999      14.977      30.976	     25.586      24.193      49.779	     12.237      11.519      23.756	
luxS	    106.251     107.086     213.337	    162.101     163.293     325.394	     70.706      71.390     142.096	
ybjG	      2.123       2.123       4.246	      3.434       3.972       7.406	      2.320       2.652       4.972	
katG	     13.107      13.326      26.433	     14.476      14.720      29.196	      9.417       9.764      19.181	
ybjF	      2.971       3.353       6.325	      3.162       3.926       7.088	      3.534       4.250       7.784	
katE	      4.761       4.654       9.415	      5.805       5.714      11.520	      4.300       4.211       8.511	
ybjC	      2.797       1.810       4.607	      5.213       3.663       8.877	      3.468       2.254       5.723	
cspH	      1.798       1.349       3.147	      0.770       0.385       1.155	      1.185       0.711       1.895	
cspE	    847.975     849.571    1697.546	    987.172     999.278    1986.450	    576.711     582.237    1158.948	
glk	     40.150      33.607      73.757	     48.939      42.488      91.427	     35.313      27.164      62.477	
cspD	    942.551     956.139    1898.689	   1152.305    1168.373    2320.677	    627.368     641.915    1269.283	
cspC	    319.444    1404.552    1723.996	    383.076    1775.192    2158.268	    218.189     986.416    1204.604	
lolA	     31.922      32.622      64.544	     32.935      34.935      67.870	     30.359      28.718      59.078	
cspB	     95.315     264.815     360.130	    169.398     479.897     649.295	     69.889     159.678     229.567	
cspA	    106.330     934.045    1040.375	    189.033    1590.031    1779.064	     92.396     772.332     864.728	
ybiY	      1.702       1.596       3.299	      1.458       1.549       3.007	      1.402       1.346       2.747	
ybiW	      2.913       1.811       4.723	      3.219       2.191       5.410	      3.319       2.281       5.600	
uxaC	     53.406      56.524     109.930	     60.676      64.593     125.269	     44.927      47.534      92.460	
ybiT	      6.390       6.360      12.751	      8.067       8.401      16.468	      5.280       5.185      10.466	
ybiS	      5.667       6.551      12.218	      7.746       9.126      16.873	      6.082       6.465      12.547	
ybiR	      1.979       2.710       4.689	      3.389       4.679       8.068	      3.627       4.443       8.070	
ybiP	      2.968       3.513       6.481	      3.916       5.057       8.973	      4.373       5.107       9.480	
ybiK	      5.236       4.626       9.861	      6.398       5.963      12.362	      5.678       4.928      10.607	
ybiJ	     39.627      28.803      68.430	     51.370      39.274      90.644	     38.862      28.035      66.896	
ybiI	      9.325       5.559      14.885	      8.907       5.989      14.896	      9.261       6.426      15.687	
ybiH	      2.341       1.773       4.114	      3.584       2.551       6.135	      2.617       2.093       4.710	
ybiF	      2.750       2.480       5.230	      3.232       2.493       5.726	      2.955       2.500       5.455	
dnaX	      5.238       4.344       9.581	      8.141       7.354      15.495	      4.813       4.290       9.104	
pyrL	      0.469       0.000       0.469	      1.206       0.402       1.608	      0.000       3.463       3.463	
dnaT	     12.414       8.246      20.660	     17.312      14.123      31.435	     13.830      10.466      24.297	
pyrI	      2.798       2.695       5.493	      3.727       2.840       6.567	      2.294       2.075       4.369	
pyrH	      9.036      10.025      19.061	     10.109      10.109      20.219	      7.715       6.951      14.666	
pyrG	     18.475      15.873      34.348	     24.932      20.351      45.282	     20.333      16.636      36.969	
dnaQ	     20.671      19.362      40.033	     25.374      23.190      48.564	     22.474      20.681      43.155	
cds4199	      0.989       0.853       1.842	      1.256       1.139       2.395	      0.827       0.791       1.617	
pyrF	      2.206       1.752       3.958	      1.556       1.667       3.222	      1.299       1.368       2.667	
ybhT	      9.896      19.791      29.687	     15.854      18.588      34.442	      7.401      19.176      26.577	
cds4198	      1.469       1.763       3.231	      1.761       1.677       3.438	      2.477       1.961       4.437	
pyrE	      3.058       2.387       5.445	      2.874       2.427       5.301	      3.694       2.594       6.288	
dnaN	      2.740       3.566       6.306	      4.618       6.107      10.725	      3.437       4.125       7.562	
tdk	     25.723      22.779      48.502	     31.382      28.794      60.176	     21.393      19.924      41.317	
pyrD	      1.042       1.089       2.131	      1.825       1.622       3.447	      2.096       1.697       3.793	
pyrC	      2.927       2.973       5.900	      3.916       4.112       8.028	      3.856       4.000       7.856	
pyrB	      2.046       1.637       3.683	      2.453       2.103       4.556	      1.348       1.240       2.588	
ybhP	      0.126       0.126       0.252	      0.270       0.270       0.540	      0.465       0.399       0.864	
tdh	     26.835      29.448      56.283	     35.447      40.043      75.490	     22.821      24.198      47.019	
dnaK	    268.811     265.289     534.100	    316.659     311.397     628.056	    223.671     220.986     444.657	
ybhO	      0.424       0.424       0.848	      0.462       0.363       0.825	      0.406       0.447       0.853	
cds4193	     17.139      38.777      55.916	     20.272      42.928      63.200	     14.224      30.255      44.479	
orgA	     10.337      10.503      20.840	     11.685      12.322      24.006	     11.069      12.724      23.793	
dnaJ	     31.796      41.288      73.084	     40.247      52.439      92.686	     25.851      34.394      60.245	
ybhN	      0.945       0.646       1.591	      1.448       1.235       2.682	      1.520       1.310       2.830	
vexE	     42.149      33.476      75.626	     62.782      49.240     112.022	     32.592      27.138      59.730	
vexD	     40.067      49.020      89.087	     59.571      69.499     129.070	     32.791      37.934      70.724	
vexC	     71.686      69.553     141.239	     97.557      97.615     195.172	     50.317      48.577      98.894	
dnaG	     30.194      27.205      57.399	     34.121      31.350      65.472	     39.451      35.549      75.000	
vexB	     75.708      72.095     147.803	    107.895      99.333     207.228	     54.842      51.160     106.002	
vexA	     46.986      44.027      91.012	     59.430      58.547     117.977	     35.673      34.728      70.401	
dnaE	      3.451       2.901       6.351	      4.073       3.284       7.358	      3.767       3.361       7.128	
dnaC	     14.598      15.117      29.716	     16.223      16.001      32.224	     14.564      14.633      29.197	
dnaB	      4.667       4.227       8.893	      5.154       4.894      10.048	      4.027       3.920       7.947	
ybhF	      1.240       1.268       2.509	      1.770       1.558       3.328	      0.988       0.959       1.946	
dnaA	      6.049       7.519      13.568	      8.312       9.892      18.204	      7.168       9.293      16.461	
ybhE	     17.307      17.740      35.046	     23.547      24.165      47.712	     14.237      14.642      28.879	
ybhC	      3.766       3.617       7.384	      5.077       5.173      10.251	      2.830       2.790       5.620	
ybhB	     10.641       5.722      16.362	     14.355       7.908      22.263	      9.627       6.982      16.609	
ybhA	      7.074       6.899      13.973	      8.811       8.861      17.672	      6.161       6.346      12.508	
pflB	     64.221      66.339     130.560	     82.848      84.949     167.798	     43.345      44.759      88.104	
pflA	     19.621      24.661      44.282	     23.841      30.161      54.001	     17.769      22.069      39.839	
cds4188	      1.960       0.560       2.520	      2.158       2.877       5.035	      0.590       1.180       1.771	
ybgR	      3.824       3.315       7.139	      4.585       3.581       8.165	      3.977       3.493       7.470	
