#BAM: /home/student5/project/mapping/mapping_2020_02_24/time_30min/ERR405227.sorted.bam Mapped Reads/million: 38.542759
#BAM: /home/student5/project/mapping/mapping_2020_02_24/time_30min/ERR405228.sorted.bam Mapped Reads/million: 37.642071
#BAM: /home/student5/project/mapping/mapping_2020_02_24/time_30min/ERR405229.sorted.bam Mapped Reads/million: 31.734760

    	ERR405227.sorted.bam	ERR405228.sorted.bam	ERR405229.sorted.bam	
    	      Sense   Antisense       Total	      Sense   Antisense       Total	      Sense   Antisense       Total	
coaA	      2.101       1.882       3.983	      3.240       2.933       6.174	      2.087       2.121       4.208	
gloB	     10.055      11.668      21.724	     12.580      13.248      25.828	      8.753       9.545      18.298	
gloA	     59.839      58.758     118.598	     69.345      68.368     137.714	     57.616      55.917     113.533	
fkpB	     21.736      22.428      44.165	     26.035      31.820      57.855	     24.789      25.769      50.558	
fkpA	    173.158     179.050     352.209	    208.765     218.010     426.776	    221.271     225.003     446.274	
menG	    312.731     309.260     621.991	    390.947     387.722     778.669	    345.845     339.556     685.401	
menF	      3.463       4.925       8.388	      4.797       5.924      10.721	      2.918       4.133       7.051	
menE	      4.552       4.893       9.445	      6.117       5.826      11.943	      5.114       5.229      10.342	
glnS	     42.340      42.464      84.804	     70.222      70.668     140.889	     31.625      31.757      63.381	
menD	      1.615       1.739       3.354	      1.733       2.035       3.768	      1.527       1.641       3.168	
menC	      5.550       7.220      12.771	      8.055      10.980      19.035	      6.381       7.886      14.267	
glnQ	     23.397      28.242      51.639	     30.975      37.222      68.197	     17.739      21.400      39.138	
menB	     16.269      18.960      35.229	     23.036      27.092      50.129	     14.837      17.592      32.429	
menA	      3.599       3.348       6.947	      4.942       5.199      10.141	      4.473       4.201       8.674	
glnP	     21.935      21.700      43.635	     27.331      29.062      56.392	     15.660      17.570      33.230	
glnL	      4.818       4.497       9.316	      5.060       4.883       9.943	      5.642       5.342      10.984	
cds3282	      2.778       4.461       7.240	      3.606       4.848       8.455	      4.230       5.751       9.981	
glnK	      0.612       0.459       1.071	      0.392       0.157       0.549	      0.651       0.279       0.930	
cds2198	      2.095       2.299       4.394	      2.585       2.904       5.489	      1.931       2.179       4.110	
cds2197	     10.593      10.456      21.049	     11.713      12.112      23.825	     10.976      10.865      21.841	
glnH	    106.837     133.790     240.627	    139.338     176.253     315.592	     82.680     101.114     183.794	
glnG	      4.011       3.662       7.673	      5.276       5.144      10.419	      4.358       4.447       8.805	
glnE	      4.169       4.124       8.293	      5.278       5.474      10.752	      3.845       4.033       7.878	
cds2192	      2.939       2.659       5.598	      3.066       2.808       5.875	      2.447       2.379       4.827	
asnS	     82.373      82.095     164.468	    115.480     115.081     230.561	     71.277      70.692     141.969	
glnD	      7.639       8.144      15.783	      9.392      10.336      19.728	      6.814       7.238      14.052	
glnB	     73.703      74.468     148.171	     85.497      85.262     170.759	     61.442      60.977     122.420	
glnA	      9.697       7.508      17.205	     16.901      13.189      30.089	     10.146       7.643      17.789	
rpsV	     90.268     139.996     230.264	     93.904     145.191     239.094	     54.269      97.816     152.085	
ydeZ	      5.645       4.946      10.590	      8.882       7.689      16.571	      4.623       3.428       8.051	
rpsU	    142.338     121.798     264.137	    152.755     127.541     280.296	    103.870      83.592     187.462	
uspB	     17.915      20.308      38.223	     22.138      24.194      46.332	     21.664      22.133      43.797	
rpsT	     54.053     119.505     173.558	     68.327     166.038     234.365	     51.444     109.096     160.540	
rpsS	    110.290      66.118     176.409	    129.783      87.601     217.384	    129.998      75.559     205.557	
uspA	    760.224     874.801    1635.025	    722.840     843.639    1566.479	    660.359     751.487    1411.846	
rpsR	     39.487      30.269      69.756	     43.811      32.508      76.319	     38.145      31.097      69.242	
ydeW	      4.567       4.000       8.567	      5.701       5.535      11.235	      4.431       4.431       8.863	
rpsQ	     56.571     204.611     261.182	     59.070     224.092     283.163	     67.595     238.620     306.215	
ydeV	     20.505      19.447      39.952	     26.016      25.148      51.164	     15.528      14.638      30.166	
rpsP	    122.328      73.772     196.100	    148.834      89.727     238.561	    118.199      71.122     189.320	
rpsO	    193.340     203.045     396.385	    203.279     214.594     417.874	    143.784     153.588     297.372	
rpsN	    208.494     254.619     463.114	    254.721     318.705     573.427	    221.299     261.769     483.069	
rpsM	    217.155     224.568     441.723	    271.390     297.807     569.197	    238.761     235.760     474.521	
rpsL	     52.306      40.820      93.126	     62.342      47.040     109.381	     47.225      35.713      82.937	
glmU	     48.617      45.248      93.865	     59.275      54.488     113.763	     44.359      41.256      85.616	
rpsK	    206.630     208.227     414.857	    269.339     254.012     523.351	    221.709     230.355     452.064	
rpsJ	    118.666      96.712     215.379	    130.361     108.818     239.179	    134.630      99.684     234.314	
glmS	     31.616      34.537      66.153	     40.517      44.770      85.287	     29.893      32.648      62.540	
asnC	      6.048       5.653      11.701	      8.797       8.392      17.190	      8.170       7.964      16.133	
rpsI	     40.667      94.472     135.140	     45.831     111.131     156.963	     56.448     116.182     172.630	
asnB	     11.640      11.656      23.296	     13.466      13.642      27.109	      9.785       9.803      19.588	
rpsH	    134.083     152.304     286.388	    161.289     180.149     341.438	    150.179     159.320     309.499	
asnA	     34.019      33.000      67.019	     43.287      42.243      85.530	     31.955      29.861      61.817	
cds3278	      6.711       6.642      13.353	      7.958       7.509      15.467	      8.011       7.367      15.377	
rpsG	     41.810      43.242      85.052	     56.516      60.182     116.699	     44.022      45.561      89.583	
cds3277	      4.932       4.899       9.832	      5.835       5.801      11.636	      6.335       6.213      12.548	
rpsF	     28.500      19.524      48.025	     31.396      22.943      54.340	     32.784      23.236      56.020	
cds3276	      1.009       1.235       2.244	      1.307       1.455       2.762	      1.175       1.551       2.726	
rpsE	    138.529     127.255     265.784	    149.328     135.940     285.268	    159.682     148.803     308.484	
cds3275	      0.586       0.492       1.078	      0.648       0.744       1.392	      0.712       0.683       1.395	
rpsD	    173.678     180.697     354.376	    224.763     237.597     462.360	    191.858     194.040     385.898	
cds3274	      1.506       1.646       3.151	      1.165       1.452       2.617	      1.914       2.105       4.019	
rpsC	     95.724      97.387     193.111	    106.075     109.594     215.669	    111.546     112.354     223.900	
rpsB	    322.886     311.771     634.657	    357.800     357.617     715.416	    341.935     332.126     674.062	
rpsA	    111.732     113.018     224.750	    132.894     132.608     265.501	    116.614     117.838     234.452	
cds2187	      2.786       2.640       5.426	      2.725       2.469       5.194	      3.661       3.686       7.348	
trpS	     10.849       6.090      16.939	     11.501       7.362      18.863	     11.250       6.060      17.309	
trpR	     20.947      13.726      34.673	     25.591      18.442      44.033	     18.502      13.780      32.282	
cds2185	      1.218       1.238       2.457	      1.329       1.329       2.659	      1.431       1.383       2.814	
cds2183	     14.293      14.755      29.048	     14.398      14.905      29.304	     10.504      10.624      21.128	
cds1097	     46.250      40.046      86.296	     54.961      47.501     102.462	     40.873      35.336      76.209	
melR	     18.437      18.381      36.818	     22.295      22.266      44.561	     17.934      17.529      35.463	
pnuC	      5.838       4.108       9.946	      6.457       4.612      11.069	      6.346       4.902      11.248	
cds1093	    195.566     301.857     497.423	    220.717     357.356     578.073	    152.022     243.167     395.189	
tldD	      7.141       7.016      14.157	      9.847       9.682      19.530	      6.647       6.385      13.032	
cds1092	    251.446     154.912     406.358	    320.109     197.510     517.619	    208.087     129.806     337.894	
trpH	     20.356      18.738      39.094	     23.976      22.138      46.114	     20.650      18.435      39.085	
cds1090	      4.778       3.961       8.739	      5.511       5.264      10.775	      4.297       4.003       8.300	
trpE	      0.647       0.564       1.212	      0.952       0.731       1.683	      0.786       0.726       1.512	
trpD	      1.528       0.683       2.211	      1.848       0.782       2.630	      1.382       0.592       1.974	
trpC	      3.799       4.105       7.904	      4.848       5.219      10.067	      2.806       3.223       6.029	
trpB	      4.541       4.585       9.126	      5.963       5.852      11.815	      4.909       4.645       9.554	
trpA	      6.044       6.109      12.153	      6.024       6.650      12.674	      6.169       6.013      12.183	
melB	      1.922       1.668       3.590	      1.912       2.061       3.973	      1.784       1.563       3.347	
asmA	      9.864      10.046      19.909	     12.046      12.289      24.334	     10.606      10.809      21.415	
melA	      2.685       2.742       5.427	      5.066       4.948      10.014	      2.213       2.259       4.472	
cds2179	      0.083       0.083       0.166	      0.255       0.255       0.511	      0.177       0.227       0.404	
cds298	      4.014       4.841       8.855	      5.108       5.621      10.729	      3.943       4.445       8.389	
cds2178	      0.160       0.096       0.256	      0.164       0.164       0.328	      0.272       0.389       0.661	
mreD	      3.217       2.268       5.484	      4.050       2.700       6.749	      2.626       2.690       5.316	
mreC	      3.992       4.632       8.624	      4.112       5.071       9.183	      4.878       6.015      10.893	
mreB	     12.873      16.626      29.499	     13.665      17.176      30.841	     15.846      19.408      35.254	
cds294	      7.349       7.715      15.064	     10.227      10.643      20.870	      6.707       6.756      13.463	
cds1089	     68.145      68.875     137.020	     81.939      84.926     166.864	     62.727      64.204     126.931	
cds1088	      3.701       3.835       7.536	      4.421       4.984       9.405	      3.355       3.420       6.774	
cds1087	     27.719      28.022      55.741	     35.029      35.917      70.946	     25.635      25.733      51.368	
cds1086	     12.383      13.611      25.994	     14.641      14.943      29.585	     13.965      15.159      29.124	
cds1085	     11.202       6.617      17.819	     13.432       7.191      20.623	     11.914       6.627      18.540	
cds1084	     26.859      25.195      52.054	     32.548      30.576      63.124	     25.764      23.941      49.704	
cds1083	      3.175       2.584       5.758	      4.304       3.520       7.824	      3.803       3.244       7.047	
orn	     16.964      15.444      32.408	     18.441      15.862      34.302	     15.467      13.159      28.626	
pntB	     12.478      14.364      26.842	     15.148      17.864      33.011	     10.209      11.615      21.824	
cds1082	    204.132      79.849     283.981	    187.718      71.682     259.400	    189.067      76.333     265.400	
grxC	     19.459      16.061      35.520	     31.099      21.611      52.710	     19.132      15.506      34.637	
pntA	     22.215      21.825      44.039	     29.813      31.237      61.050	     17.753      17.259      35.012	
cds1081	    203.653     199.412     403.065	    188.772     211.166     399.938	    184.623     170.282     354.905	
grxB	    478.305     478.225     956.529	    525.253     527.139    1052.392	    403.616     402.740     806.356	
cds1080	    125.093      64.142     189.235	    152.860      86.445     239.305	    101.286      53.519     154.805	
grxA	    107.515      81.570     189.086	    141.283     101.635     242.918	     79.972      61.948     141.920	
baeS	      7.225       6.357      13.582	      7.569       6.452      14.021	      7.227       6.217      13.444	
baeR	     11.591      10.945      22.536	     14.293      13.007      27.301	     11.942      11.506      23.448	
cds3252	      1.640      82.756      84.396	      5.038     129.624     134.662	      1.268      64.652      65.920	
cds286	      4.599       1.971       6.571	      5.091       2.237       7.328	      4.767       1.984       6.751	
mrdB	      3.287       1.842       5.128	      4.296       2.220       6.516	      2.690       1.444       4.134	
cds282	     11.512       9.060      20.573	     16.446      12.631      29.077	     10.936       8.389      19.325	
cds1078	      4.168       9.274      13.441	      7.148      12.376      19.524	      5.442       9.871      15.313	
cds1077	     10.880       9.485      20.366	     13.854      12.426      26.280	     11.181      10.334      21.516	
cds1076	      4.084       3.243       7.327	      5.248       3.608       8.855	      5.738       4.377      10.115	
cds2160	      1.829       1.580       3.409	      1.958       2.299       4.257	      3.333       2.525       5.858	
cds1075	     13.469      36.295      49.764	     12.194      36.002      48.196	      9.471      28.584      38.054	
cds1074	     21.871      10.793      32.664	     22.029      12.515      34.543	     18.143      10.591      28.733	
cds1073	     82.952      81.084     164.035	     99.695      97.575     197.270	     73.132      70.666     143.798	
dinP	      5.970       5.970      11.941	      7.421       7.346      14.767	      7.699       7.550      15.248	
cds1071	     26.278       0.499      26.777	     38.146       1.703      39.849	     23.835       0.808      24.643	
cds1070	     24.070      31.989      56.058	     34.568      45.557      80.125	     22.526      28.727      51.253	
fklB	      4.774       4.383       9.157	      7.212       6.571      13.784	      4.895       4.420       9.316	
dinI	      9.914       7.594      17.508	     13.715      11.015      24.730	     13.962      11.016      24.978	
dinF	     36.139      35.415      71.555	     40.069      40.530      80.600	     51.663      50.855     102.518	
trmU	     10.102       9.398      19.500	     11.543      11.279      22.822	      8.283       7.970      16.254	
cds2158	      1.613       1.723       3.336	      3.044       3.416       6.459	      1.075       1.267       2.343	
cds277	      3.086       0.857       3.943	      3.901       1.092       4.993	      2.753       0.763       3.517	
cds276	      1.161       4.034       5.195	      2.348       5.111       7.459	      1.586       3.454       5.040	
cds2155	      4.852       5.379      10.230	      5.184       7.019      12.203	      7.558       9.351      16.908	
mrcB	     11.199      11.723      22.922	     13.351      14.394      27.745	     11.977      12.627      24.604	
cds274	     11.249       9.242      20.490	     11.344       9.579      20.923	     11.499      10.092      21.591	
mrcA	      4.299       3.786       8.085	      5.247       4.618       9.866	      5.405       4.757      10.161	
cds273	      2.168       2.233       4.400	      2.930       2.441       5.371	      3.422       2.948       6.371	
cds1069	     11.124      10.299      21.422	     13.924      12.642      26.566	     10.578       9.910      20.488	
cds272	      1.508       2.105       3.613	      1.631       1.864       3.496	      2.142       1.866       4.008	
cds1068	      1.005       0.786       1.791	      0.984       1.252       2.236	      0.955       0.902       1.857	
cds2152	      0.766       3.832       4.598	      1.681       5.717       7.398	      1.330       4.919       6.249	
rpoZ	    148.621     161.688     310.308	    176.914     191.641     368.555	    133.808     143.970     277.778	
cds271	      5.567       3.280       8.847	      5.904       4.071       9.975	      6.520       5.795      12.315	
cds1066	      2.351       2.431       4.783	      3.101       3.142       6.244	      2.565       2.614       5.179	
cds2150	      8.001      12.237      20.238	      9.157      12.349      21.506	      7.574      11.790      19.364	
cds1065	     17.773      17.932      35.704	     20.635      20.960      41.596	     11.371      12.142      23.513	
cds1064	      2.814       2.357       5.171	      3.256       2.741       5.997	      2.779       2.445       5.224	
cds1063	      2.854       2.239       5.092	      2.787       1.888       4.675	      2.346       1.813       4.159	
cds1062	      1.918       2.048       3.967	      2.297       2.597       4.894	      2.448       2.409       4.857	
trmH	      6.956       7.483      14.439	      8.201       8.855      17.056	      5.754       6.805      12.559	
cds1061	      1.308       1.245       2.553	      1.372       0.948       2.320	      1.357       1.008       2.364	
rpoS	    809.131     862.347    1671.478	    966.405    1073.267    2039.672	    676.467     731.551    1408.018	
cds1060	      1.884       2.228       4.112	      1.793       2.363       4.156	      2.545       3.061       5.606	
trmD	     65.471      54.424     119.895	    103.255      84.645     187.899	     62.243      56.088     118.331	
rpoN	     71.666      34.395     106.061	    108.765      53.354     162.119	     53.507      25.622      79.130	
trmA	     17.203       8.366      25.568	     19.617       9.676      29.293	     21.236      11.248      32.484	
pheT	     40.765      21.306      62.071	     51.341      26.722      78.063	     37.080      18.764      55.844	
