#BAM: /home/student5/project/mapping/mapping_2020_02_24/time_6h/mapped_ERR405230.sorted.bam Mapped Reads/million: 30.700644
#BAM: /home/student5/project/mapping/mapping_2020_02_24/time_6h/mapped_ERR405231.sorted.bam Mapped Reads/million: 30.864573
#BAM: /home/student5/project/mapping/mapping_2020_02_24/time_6h/mapped_ERR405232.sorted.bam Mapped Reads/million: 19.470339

    	mapped_ERR405230.sorted.bam	mapped_ERR405231.sorted.bam	mapped_ERR405232.sorted.bam	
    	      Sense   Antisense       Total	      Sense   Antisense       Total	      Sense   Antisense       Total	
aspC	     31.287      31.123      62.410	     44.152      43.363      87.514	     23.632      23.545      47.177	
cds3299	     12.901      11.752      24.653	     18.042      15.586      33.628	     11.346      10.876      22.223	
aspA	    195.912     195.254     391.166	    274.574     275.408     549.982	    149.148     148.648     297.796	
coaD	     14.047      13.165      27.212	     13.500      13.500      27.000	      7.918       8.453      16.371	
coaA	      2.158       2.055       4.213	      3.475       3.543       7.018	      2.160       2.160       4.321	
gloB	      9.479      10.685      20.164	     13.543      15.214      28.757	      9.171       9.443      18.615	
gloA	     43.670      42.233      85.902	     48.599      47.170      95.769	     30.715      30.086      60.801	
fkpB	     22.077      22.728      44.805	     26.568      27.864      54.431	     17.919      18.147      36.066	
fkpA	    235.883     240.417     476.300	    275.970     285.029     561.000	    274.611     279.126     553.737	
menG	    304.882     302.469     607.352	    355.929     356.929     712.858	    296.536     295.585     592.122	
menF	      3.468       4.021       7.490	      4.300       5.275       9.575	      3.170       3.289       6.460	
menE	      6.429       6.357      12.786	      7.318       7.271      14.589	      5.406       5.557      10.963	
glnS	     28.882      28.940      57.822	     50.231      50.406     100.637	     19.429      19.460      38.890	
menD	      1.676       1.501       3.177	      2.016       2.172       4.188	      1.260       1.322       2.582	
menC	      8.828      10.891      19.719	     10.733      14.063      24.796	      6.667       8.693      15.360	
glnQ	     12.660      14.957      27.617	     20.524      23.527      44.051	     10.158      11.792      21.951	
menB	     24.145      25.549      49.694	     28.888      31.758      60.645	     18.976      19.694      38.670	
menA	      6.269       6.129      12.399	      7.664       7.386      15.050	      6.517       6.296      12.812	
glnP	     13.226      14.411      27.637	     18.016      20.471      38.487	      8.560       9.572      18.132	
glnL	      6.515       6.266      12.781	      7.683       7.251      14.935	      6.506       6.310      12.816	
cds3282	      4.962       6.387      11.349	      4.789       7.086      11.875	      5.887       8.909      14.796	
glnK	      1.249       0.769       2.018	      0.860       0.573       1.434	      0.758       0.909       1.667	
cds2198	      2.104       2.509       4.613	      2.938       3.233       6.171	      1.914       1.957       3.871	
cds2197	      8.703       8.646      17.349	     10.657      10.743      21.400	      7.111       7.564      14.674	
glnH	     49.622      59.389     109.011	     70.091      83.797     153.887	     34.859      43.041      77.900	
glnG	      5.660       5.590      11.250	      6.273       6.112      12.385	      5.063       5.136      10.199	
glnE	      4.295       4.547       8.842	      5.582       5.764      11.347	      4.081       4.117       8.199	
cds2192	      2.811       2.706       5.517	      3.810       3.565       7.375	      2.992       2.659       5.651	
asnS	     56.752      56.241     112.993	     73.865      73.217     147.082	     43.515      43.038      86.553	
glnD	      5.849       6.166      12.015	      7.624       8.194      15.818	      4.400       4.880       9.281	
glnB	     45.928      41.989      87.917	     53.235      49.029     102.264	     35.452      32.877      68.329	
glnA	     10.927       8.686      19.613	     14.385      11.995      26.379	      9.544       7.649      17.193	
rpsV	     30.763      61.074      91.837	     39.600      71.549     111.149	     15.337      40.660      55.997	
ydeZ	      6.274       5.819      12.093	      9.636       8.181      17.817	      6.100       5.280      11.379	
rpsU	    101.337      57.153     158.490	    113.699      68.849     182.548	     73.949      39.233     113.183	
uspB	     19.582      18.322      37.904	     23.432      22.853      46.285	     15.439      13.910      29.349	
rpsT	     34.177      66.256     100.432	     42.095      84.190     126.285	     25.875      53.111      78.986	
rpsS	    182.593     119.433     302.026	    199.159     142.256     341.415	    161.260     110.268     271.528	
uspA	    521.461     593.720    1115.181	    543.122     625.648    1168.769	    425.522     486.564     912.086	
rpsR	     39.144      32.287      71.431	     44.194      35.384      79.578	     32.213      27.482      59.695	
ydeW	      4.784       4.343       9.127	      5.029       4.657       9.686	      3.906       3.906       7.811	
rpsQ	     73.831     251.001     324.832	     79.030     280.034     359.064	     69.487     253.780     323.267	
ydeV	     11.532      10.694      22.226	     14.135      12.996      27.132	      8.189       7.577      15.766	
rpsP	    106.221      60.698     166.918	    128.037      74.428     202.465	     87.869      49.298     137.167	
rpsO	     66.955      75.641     142.596	     83.519      92.279     175.798	     56.116      63.725     119.840	
rpsN	    269.416     315.401     584.817	    339.243     396.419     735.662	    250.423     308.161     558.584	
rpsM	    238.957     242.789     481.746	    308.840     331.983     640.823	    222.129     229.179     451.308	
rpsL	     46.644      30.401      77.045	     57.455      42.076      99.532	     40.540      30.679      71.219	
glmU	     43.406      39.724      83.130	     54.259      50.833     105.092	     37.762      35.327      73.088	
rpsK	    232.101     232.184     464.285	    293.258     290.433     583.691	    224.141     220.190     444.331	
rpsJ	    167.143     143.340     310.484	    188.271     166.463     354.734	    159.184     128.730     287.913	
glmS	     30.312      32.964      63.276	     38.773      41.394      80.167	     27.420      29.357      56.777	
asnC	      7.593       7.238      14.832	      8.259       8.047      16.306	      7.497       7.273      14.770	
rpsI	     36.137      85.286     121.422	     34.296      95.468     129.763	     29.666      77.367     107.033	
asnB	     10.290      10.271      20.561	     13.213      13.330      26.542	      8.668       8.637      17.305	
rpsH	    183.335     196.347     379.682	    208.578     232.403     440.981	    164.143     175.513     339.657	
asnA	     28.866      27.423      56.289	     33.020      31.584      64.603	     24.775      23.275      48.050	
cds3278	      9.294       8.599      17.893	     12.787      11.577      24.365	      9.359       9.405      18.764	
rpsG	     45.989      48.133      94.122	     53.380      53.518     106.898	     41.001      39.474      80.475	
cds3277	      7.971       7.699      15.669	      8.948       9.094      18.041	      9.632       9.698      19.330	
rpsF	     34.793      25.087      59.881	     40.336      28.063      68.399	     29.830      19.195      49.026	
cds3276	      1.861       2.094       3.955	      1.954       2.340       4.294	      1.875       1.997       3.872	
rpsE	    191.299     172.234     363.534	    216.383     198.705     415.088	    175.582     159.380     334.962	
cds3275	      0.706       0.765       1.471	      1.580       1.288       2.868	      0.835       0.974       1.809	
rpsD	    204.982     211.119     416.101	    253.823     264.779     518.602	    202.546     204.117     406.663	
cds3274	      2.747       2.989       5.736	      2.602       3.104       5.706	      2.634       2.946       5.580	
rpsC	    133.028     138.457     271.485	    150.229     158.675     308.904	    128.693     132.644     261.337	
rpsB	    326.489     318.906     645.395	    369.650     365.857     735.507	    322.098     316.933     639.031	
rpsA	    106.746     106.785     213.532	    125.398     126.463     251.861	     98.486      98.394     196.881	
cds2187	      4.202       4.072       8.274	      4.310       4.491       8.801	      4.609       4.609       9.218	
trpS	     13.299       8.288      21.587	     13.548       8.819      22.367	     12.207       7.040      19.247	
trpR	     16.336      12.152      28.489	     19.915      14.070      33.985	     13.351       9.267      22.617	
cds2185	      1.229       1.354       2.583	      1.596       1.497       3.093	      0.830       0.870       1.700	
cds2183	      8.661       8.661      17.322	     10.800      11.212      22.012	      6.926       7.253      14.180	
cds1097	     38.178      32.809      70.987	     45.371      39.971      85.342	     29.681      24.657      54.338	
melR	     15.291      14.977      30.268	     17.780      17.502      35.282	     11.946      11.615      23.561	
pnuC	      5.881       4.253      10.134	      6.075       5.265      11.340	      5.207       3.638       8.845	
cds1093	    111.844     162.396     274.240	    142.372     215.184     357.557	     81.550     128.124     209.675	
tldD	      6.330       5.834      12.164	      8.066       7.954      16.021	      5.292       5.505      10.798	
cds1092	    138.947      88.254     227.201	    184.255     113.691     297.945	    105.959      65.820     171.779	
trpH	     12.926      11.559      24.485	     15.612      14.326      29.938	     11.064       9.492      20.556	
cds1090	      3.531       3.341       6.871	      5.173       4.871      10.045	      2.993       2.873       5.866	
trpE	      0.834       0.792       1.626	      0.705       0.746       1.451	      0.887       0.789       1.676	
trpD	      1.102       0.653       1.755	      1.299       0.771       2.071	      0.740       0.386       1.126	
trpC	      2.924       2.732       5.656	      3.886       3.552       7.438	      2.079       2.116       4.195	
trpB	      6.056       5.456      11.512	      6.268       5.970      12.238	      4.818       4.172       8.990	
trpA	      7.023       6.579      13.602	      9.274       9.114      18.388	      9.228       8.655      17.884	
melB	      2.026       2.003       4.029	      2.672       2.513       5.185	      1.292       1.256       2.548	
asmA	     11.033      11.015      22.048	     13.155      13.365      26.520	      9.874      10.261      20.135	
melA	      4.069       3.972       8.041	      4.981       5.005       9.986	      2.733       2.885       5.618	
cds2179	      0.183       0.183       0.365	      0.104       0.130       0.234	      0.123       0.165       0.288	
cds298	      3.669       4.299       7.967	      4.607       5.160       9.768	      3.272       4.090       7.362	
cds2178	      0.281       0.322       0.603	      0.160       0.080       0.240	      0.444       0.317       0.761	
mreD	      3.310       3.244       6.554	      4.083       3.424       7.507	      2.923       3.132       6.055	
mreC	      5.506       7.115      12.621	      5.077       6.923      12.000	      5.219       6.390      11.608	
mreB	     19.063      22.589      41.652	     19.893      24.703      44.596	     17.366      21.941      39.307	
cds294	      7.850       8.003      15.853	      8.873       8.518      17.391	      5.787       5.064      10.851	
cds1089	     45.436      47.355      92.791	     60.766      63.194     123.960	     35.271      36.647      71.918	
cds1088	      2.626       2.828       5.454	      3.550       3.834       7.384	      2.654       3.424       6.078	
cds1087	     20.197      19.893      40.089	     24.092      24.117      48.209	     15.604      14.925      30.529	
cds1086	     12.523      13.942      26.465	     13.745      14.052      27.797	     13.035      14.591      27.626	
cds1085	     12.606       7.214      19.820	     14.424       8.118      22.542	     12.524       7.009      19.533	
cds1084	     23.723      21.715      45.438	     29.506      27.876      57.382	     20.415      18.541      38.956	
cds1083	      5.497       4.728      10.225	      6.179       5.550      11.729	      5.288       4.724      10.012	
orn	     14.079      12.110      26.189	     15.547      14.479      30.026	      9.218       7.996      17.214	
pntB	     10.928      12.523      23.450	     14.602      17.284      31.886	      7.358       8.726      16.085	
cds1082	    121.586      52.696     174.282	    118.426      50.182     168.608	     95.931      44.276     140.207	
grxC	     19.388      15.899      35.287	     26.743      19.928      46.671	     18.954      16.509      35.463	
pntA	     18.564      17.670      36.234	     24.331      23.315      47.646	     13.965      13.394      27.359	
cds1081	    118.493     123.400     241.893	    118.175     137.594     255.770	     92.350      88.070     180.419	
