#BAM: /home/student5/project/mapping/mapping_2020_02_24/time_0h/ERR405224.sorted.bam
#BAM: /home/student5/project/mapping/mapping_2020_02_24/time_0h/ERR405225.sorted.bam
#BAM: /home/student5/project/mapping/mapping_2020_02_24/time_0h/ERR405226.sorted.bam

    	ERR405224.sorted.bam	ERR405225.sorted.bam	ERR405226.sorted.bam	
    	  Sense Antisense  Total	  Sense Antisense  Total	  Sense Antisense  Total	
cds2187	    169     167     336	    119     114     233	     54      56     110	
trpS	    666     328     994	    577     309     886	    317     151     468	
trpR	    417     285     702	    361     208     569	    218     132     350	
cds2185	    115     115     230	    103     103     206	     49      50      99	
cds2183	    450     474     924	    440     441     881	    242     264     506	
cds1097	   1035     887    1922	    878     745    1623	    562     472    1034	
melR	   1033    1029    2062	    776     759    1535	    584     579    1163	
pnuC	    265     203     468	    236     167     403	    131      93     224	
cds1093	   2354    3398    5752	   2049    3055    5104	   1189    1747    2936	
tldD	    658     653    1311	    602     582    1184	    292     278     570	
cds1092	   5245    3523    8768	   4918    3268    8186	   2630    1748    4378	
trpH	   1054     978    2032	    997     911    1908	    566     531    1097	
cds1090	    223     173     396	    175     142     317	    108      80     188	
trpE	     46      46      92	     46      38      84	     25      23      48	
trpD	    164      56     220	    139      67     206	     70      24      94	
trpC	    268     316     584	    246     279     525	    132     148     280	
trpB	    285     263     548	    259     236     495	    135     140     275	
trpA	    250     241     491	    212     208     420	    115     112     227	
melB	    159     141     300	    113     111     224	     63      46     109	
asmA	    873     919    1792	    856     870    1726	    471     493     964	
melA	    181     185     366	    184     176     360	     71      73     144	
cds2179	     11       8      19	      9      10      19	      1       3       4	
cds298	    246     279     525	    201     232     433	    122     131     253	
cds2178	      7      10      17	      7       8      15	      3       2       5	
mreD	    109      59     168	     90      60     150	     43      20      63	
mreC	    164     214     378	    153     195     348	     77      99     176	
mreB	    574     693    1267	    516     625    1141	    270     334     604	
cds294	    288     291     579	    255     248     503	    151     146     297	
